C:\Users\Mary\PycharmProjects\DeepLearning\venv\Scripts\python.exe C:/Users/Mary/PycharmProjects/DeepLearning/lab2.py
[21:45:20] c:\jenkins\workspace\mxnet-tag\mxnet\src\io\iter_image_recordio_2.cc:170: ImageRecordIOParser2: data.rec, use 3 threads for decoding..
Polina config
[21:45:21] c:\jenkins\workspace\mxnet-tag\mxnet\src\io\iter_image_recordio_2.cc:170: ImageRecordIOParser2: test_data.rec, use 3 threads for decoding..
data - ok
layers - ok
INFO:root:Epoch[2] Batch [3300]	Speed: 198.50 samples/sec	accuracy=0.658750
INFO:root:Epoch[2] Batch [3400]	Speed: 197.73 samples/sec	accuracy=0.691250
INFO:root:Epoch[2] Batch [3500]	Speed: 197.73 samples/sec	accuracy=0.678750
INFO:root:Epoch[2] Batch [3600]	Speed: 197.73 samples/sec	accuracy=0.647500
INFO:root:Epoch[2] Batch [3700]	Speed: 198.50 samples/sec	accuracy=0.708750
INFO:root:Epoch[2] Batch [3800]	Speed: 197.85 samples/sec	accuracy=0.652500
INFO:root:Epoch[2] Batch [3900]	Speed: 197.73 samples/sec	accuracy=0.698750
INFO:root:Epoch[2] Batch [4000]	Speed: 197.73 samples/sec	accuracy=0.671250
INFO:root:Epoch[2] Batch [4100]	Speed: 197.73 samples/sec	accuracy=0.648750
INFO:root:Epoch[2] Train-accuracy=0.692708
INFO:root:Epoch[2] Time cost=166.649
INFO:root:Epoch[2] Validation-accuracy=0.690711
INFO:root:Epoch[3] Batch [100]	Speed: 197.73 samples/sec	accuracy=0.657178
INFO:root:Epoch[3] Batch [200]	Speed: 198.50 samples/sec	accuracy=0.667500
INFO:root:Epoch[3] Batch [300]	Speed: 197.73 samples/sec	accuracy=0.688750
INFO:root:Epoch[3] Batch [400]	Speed: 197.73 samples/sec	accuracy=0.675000
INFO:root:Epoch[3] Batch [500]	Speed: 197.73 samples/sec	accuracy=0.676250
INFO:root:Epoch[3] Batch [600]	Speed: 198.50 samples/sec	accuracy=0.675000
INFO:root:Epoch[3] Batch [700]	Speed: 197.73 samples/sec	accuracy=0.686250
INFO:root:Epoch[3] Batch [800]	Speed: 197.73 samples/sec	accuracy=0.657500
INFO:root:Epoch[3] Batch [900]	Speed: 197.73 samples/sec	accuracy=0.683750
INFO:root:Epoch[3] Batch [1000]	Speed: 198.50 samples/sec	accuracy=0.672500
INFO:root:Epoch[3] Batch [1100]	Speed: 197.73 samples/sec	accuracy=0.695000
INFO:root:Epoch[3] Batch [1200]	Speed: 197.73 samples/sec	accuracy=0.716250
INFO:root:Epoch[3] Batch [1300]	Speed: 198.50 samples/sec	accuracy=0.696250
INFO:root:Epoch[3] Batch [1400]	Speed: 197.49 samples/sec	accuracy=0.651250
