C:\Users\Mary\PycharmProjects\DeepLearning\venv\Scripts\python.exe C:/Users/Mary/PycharmProjects/DeepLearning/lab2_pmv.py
Mariya config
[21:43:27] c:\jenkins\workspace\mxnet-tag\mxnet\src\io\iter_image_recordio_2.cc:170: ImageRecordIOParser2: data.rec, use 3 threads for decoding..
[21:43:28] c:\jenkins\workspace\mxnet-tag\mxnet\src\io\iter_image_recordio_2.cc:170: ImageRecordIOParser2: test_data.rec, use 3 threads for decoding..
data - ok
layers - ok
INFO:root:Epoch[4] Batch [2700]	Speed: 703.37 samples/sec	accuracy=0.681250
INFO:root:Epoch[4] Batch [2800]	Speed: 680.93 samples/sec	accuracy=0.681250
INFO:root:Epoch[4] Batch [2900]	Speed: 699.34 samples/sec	accuracy=0.697500
INFO:root:Epoch[4] Batch [3000]	Speed: 692.69 samples/sec	accuracy=0.685000
INFO:root:Epoch[4] Batch [3100]	Speed: 691.50 samples/sec	accuracy=0.685000
INFO:root:Epoch[4] Batch [3200]	Speed: 689.71 samples/sec	accuracy=0.665000
INFO:root:Epoch[4] Batch [3300]	Speed: 693.29 samples/sec	accuracy=0.693750
INFO:root:Epoch[4] Batch [3400]	Speed: 690.31 samples/sec	accuracy=0.702500
INFO:root:Epoch[4] Batch [3500]	Speed: 703.01 samples/sec	accuracy=0.702500
INFO:root:Epoch[4] Batch [3600]	Speed: 703.01 samples/sec	accuracy=0.652500
INFO:root:Epoch[4] Batch [3700]	Speed: 704.25 samples/sec	accuracy=0.717500
INFO:root:Epoch[4] Batch [3800]	Speed: 704.87 samples/sec	accuracy=0.687500
INFO:root:Epoch[4] Batch [3900]	Speed: 703.63 samples/sec	accuracy=0.698750
INFO:root:Epoch[4] Batch [4000]	Speed: 696.91 samples/sec	accuracy=0.678750
INFO:root:Epoch[4] Batch [4100]	Speed: 702.40 samples/sec	accuracy=0.671250
INFO:root:Epoch[4] Train-accuracy=0.700000
INFO:root:Epoch[4] Time cost=47.407
INFO:root:Epoch[4] Validation-accuracy=0.696640
INFO:root:Epoch[5] Batch [100]	Speed: 702.40 samples/sec	accuracy=0.681931
INFO:root:Epoch[5] Batch [200]	Speed: 705.49 samples/sec	accuracy=0.675000
INFO:root:Epoch[5] Batch [300]	Speed: 697.51 samples/sec	accuracy=0.696250
INFO:root:Epoch[5] Batch [400]	Speed: 696.91 samples/sec	accuracy=0.678750
INFO:root:Epoch[5] Batch [500]	Speed: 707.35 samples/sec	accuracy=0.673750
INFO:root:Epoch[5] Batch [600]	Speed: 708.60 samples/sec	accuracy=0.711250
INFO:root:Epoch[5] Batch [700]	Speed: 707.98 samples/sec	accuracy=0.692500
INFO:root:Epoch[5] Batch [800]	Speed: 706.73 samples/sec	accuracy=0.656250
INFO:root:Epoch[5] Batch [900]	Speed: 708.60 samples/sec	accuracy=0.707500
INFO:root:Epoch[5] Batch [1000]	Speed: 711.10 samples/sec	accuracy=0.678750
INFO:root:Epoch[5] Batch [1100]	Speed: 707.37 samples/sec	accuracy=0.682500
INFO:root:Epoch[5] Batch [1200]	Speed: 709.23 samples/sec	accuracy=0.717500
INFO:root:Epoch[5] Batch [1300]	Speed: 709.23 samples/sec	accuracy=0.707500
INFO:root:Epoch[5] Batch [1400]	Speed: 709.23 samples/sec	accuracy=0.671250
INFO:root:Epoch[5] Batch [1500]	Speed: 693.29 samples/sec	accuracy=0.655000
INFO:root:Epoch[5] Batch [1600]	Speed: 699.93 samples/sec	accuracy=0.660000
INFO:root:Epoch[5] Batch [1700]	Speed: 689.12 samples/sec	accuracy=0.692500
INFO:root:Epoch[5] Batch [1800]	Speed: 704.25 samples/sec	accuracy=0.692500
INFO:root:Epoch[5] Batch [1900]	Speed: 711.12 samples/sec	accuracy=0.690000
INFO:root:Epoch[5] Batch [2000]	Speed: 699.30 samples/sec	accuracy=0.685000
INFO:root:Epoch[5] Batch [2100]	Speed: 709.86 samples/sec	accuracy=0.706250
INFO:root:Epoch[5] Batch [2200]	Speed: 702.40 samples/sec	accuracy=0.713750
INFO:root:Epoch[5] Batch [2300]	Speed: 708.60 samples/sec	accuracy=0.700000
INFO:root:Epoch[5] Batch [2400]	Speed: 706.11 samples/sec	accuracy=0.692500
INFO:root:Epoch[5] Batch [2500]	Speed: 709.23 samples/sec	accuracy=0.692500
INFO:root:Epoch[5] Batch [2600]	Speed: 710.49 samples/sec	accuracy=0.690000
INFO:root:Epoch[5] Batch [2700]	Speed: 710.49 samples/sec	accuracy=0.711250
INFO:root:Epoch[5] Batch [2800]	Speed: 710.49 samples/sec	accuracy=0.691250
INFO:root:Epoch[5] Batch [2900]	Speed: 703.01 samples/sec	accuracy=0.725000
INFO:root:Epoch[5] Batch [3000]	Speed: 707.35 samples/sec	accuracy=0.701250
INFO:root:Epoch[5] Batch [3100]	Speed: 709.23 samples/sec	accuracy=0.707500
INFO:root:Epoch[5] Batch [3200]	Speed: 704.25 samples/sec	accuracy=0.688750
INFO:root:Epoch[5] Batch [3300]	Speed: 707.35 samples/sec	accuracy=0.700000
INFO:root:Epoch[5] Batch [3400]	Speed: 711.12 samples/sec	accuracy=0.720000
INFO:root:Epoch[5] Batch [3500]	Speed: 709.86 samples/sec	accuracy=0.691250
INFO:root:Epoch[5] Batch [3600]	Speed: 709.23 samples/sec	accuracy=0.666250
INFO:root:Epoch[5] Batch [3700]	Speed: 693.38 samples/sec	accuracy=0.731250
INFO:root:Epoch[5] Batch [3800]	Speed: 704.86 samples/sec	accuracy=0.707500
INFO:root:Epoch[5] Batch [3900]	Speed: 706.73 samples/sec	accuracy=0.723750
INFO:root:Epoch[5] Batch [4000]	Speed: 704.25 samples/sec	accuracy=0.703750
INFO:root:Epoch[5] Batch [4100]	Speed: 706.73 samples/sec	accuracy=0.683750
INFO:root:Epoch[5] Train-accuracy=0.713542
INFO:root:Epoch[5] Time cost=46.774
INFO:root:Epoch[5] Validation-accuracy=0.699605
INFO:root:Epoch[6] Batch [100]	Speed: 692.69 samples/sec	accuracy=0.699257
INFO:root:Epoch[6] Batch [200]	Speed: 699.34 samples/sec	accuracy=0.681250
INFO:root:Epoch[6] Batch [300]	Speed: 696.30 samples/sec	accuracy=0.717500
INFO:root:Epoch[6] Batch [400]	Speed: 695.09 samples/sec	accuracy=0.697500
INFO:root:Epoch[6] Batch [500]	Speed: 694.49 samples/sec	accuracy=0.713750
INFO:root:Epoch[6] Batch [600]	Speed: 703.01 samples/sec	accuracy=0.717500
INFO:root:Epoch[6] Batch [700]	Speed: 696.30 samples/sec	accuracy=0.733750
INFO:root:Epoch[6] Batch [800]	Speed: 698.12 samples/sec	accuracy=0.683750
INFO:root:Epoch[6] Batch [900]	Speed: 706.11 samples/sec	accuracy=0.721250
INFO:root:Epoch[6] Batch [1000]	Speed: 708.60 samples/sec	accuracy=0.683750
INFO:root:Epoch[6] Batch [1100]	Speed: 703.74 samples/sec	accuracy=0.701250
INFO:root:Epoch[6] Batch [1200]	Speed: 693.10 samples/sec	accuracy=0.735000
INFO:root:Epoch[6] Batch [1300]	Speed: 690.90 samples/sec	accuracy=0.707500
INFO:root:Epoch[6] Batch [1400]	Speed: 688.53 samples/sec	accuracy=0.675000
INFO:root:Epoch[6] Batch [1500]	Speed: 693.29 samples/sec	accuracy=0.693750
INFO:root:Epoch[6] Batch [1600]	Speed: 690.90 samples/sec	accuracy=0.680000
INFO:root:Epoch[6] Batch [1700]	Speed: 696.91 samples/sec	accuracy=0.717500
INFO:root:Epoch[6] Batch [1800]	Speed: 666.23 samples/sec	accuracy=0.686250
